id,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,state_orig_time,hpi_orig_time,default_time,payoff_time,status_time,lgd_time,recovery_res
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,KY,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
4,587,81.8,10.5,CO,97.99,0,0,0,,
9,501,80,8.73,GA,186.91,0,0,0,,
9,501,80,8.73,GA,186.91,0,0,0,,
9,501,80,8.73,GA,186.91,0,0,0,,
9,501,80,8.7,GA,186.91,0,0,0,,
9,501,80,8.7,GA,186.91,0,0,0,,
9,501,80,8.7,GA,186.91,0,0,0,,
9,501,80,8.73,GA,186.91,0,0,0,,
9,501,80,8.73,GA,186.91,0,0,0,,
9,501,80,8,GA,186.91,0,0,0,,
9,501,80,8,GA,186.91,0,0,0,,
9,501,80,8,GA,186.91,0,0,0,,
9,501,80,8,GA,186.91,0,0,0,,
9,501,80,8,GA,186.91,1,0,1,0.007837695,129120.31
47,600,80,6.93,TN,191.42,0,0,0,,
47,600,80,6.93,TN,191.42,0,0,0,,
47,600,80,6.93,TN,191.42,0,1,2,,
20442,775,80,4.625,CA,187.65,0,0,0,,
20442,775,80,4.625,CA,187.65,0,0,0,,
20443,801,75,4.5,AL,187.65,0,0,0,,
20443,801,75,4.5,AL,187.65,0,0,0,,
20444,808,80,4.5,NJ,187.65,0,0,0,,
20444,808,80,4.5,NJ,187.65,0,0,0,,
20445,746,80,4.75,CA,187.65,0,0,0,,
20445,746,80,4.75,CA,187.65,0,0,0,,
20446,762,78.1,4.875,CA,187.65,0,0,0,,
20446,762,78.1,4.875,CA,187.65,0,0,0,,
20447,771,80,4.5,CA,187.65,0,0,0,,
20447,771,80,4.5,CA,187.65,0,0,0,,
20450,781,68.4,4.375,CA,189.82,0,0,0,,
20452,794,80,4.25,DC,189.82,0,0,0,,
20453,777,80,4.125,CA,189.82,0,0,0,,
20454,751,64.7,4.25,NJ,189.82,0,0,0,,
20455,806,64.2,4.25,CA,189.82,0,1,2,,
20456,755,79.9,4.75,NC,189.82,0,1,2,,
20457,798,75,4.25,NY,189.82,0,0,0,,
20458,753,74.1,4.5,FL,189.82,0,0,0,,
20459,801,80,4.25,CA,189.82,0,0,0,,
38839,761,80,1.2,WA,222.39,0,0,0,,
38839,761,80,1.2,WA,222.39,0,0,0,,
38839,761,80,1.2,WA,222.39,0,0,0,,
38839,761,80,1.2,WA,222.39,0,0,0,,
38839,761,80,1.2,WA,222.39,0,0,0,,
38839,761,80,1.2,WA,222.39,0,0,0,,
38839,649,80,1.2,WA,222.39,0,0,0,,
38839,649,80,1.2,WA,222.39,0,0,0,,
38839,649,80,1.2,WA,222.39,0,0,0,,
38839,649,80,1.2,WA,222.39,0,0,0,,
38839,649,80,1.2,WA,222.39,0,0,0,,
38839,649,80,1.2,WA,222.39,0,0,0,,
38839,649,80,1.2,WA,222.39,0,0,0,,
38839,649,80,1.2,WA,222.39,0,0,0,,
